id , distance
42C9 , 10.80
FFFFD546 , 5.0
42C9 , 10.89
FFFFD546 , 5.0
FFFFD546 , 6.33
42C9 , 9.3
FFFFD546 , 6.35
42C9 , 8.5
FFFFD546 , 6.53
42C9 , 8.1
FFFFD546 , 6.58
42C9 , 9.5
FFFFD546 , 6.29
42C9 , 9.5
FFFFD546 , 6.62
42C9 , 8.8
FFFFD546 , 6.57
42C9 , 8.3
FFFFD546 , 6.24
42C9 , 8.5
FFFFD546 , 6.46
42C9 , 7.5
FFFFD546 , 6.36
42C9 , 8.5
FFFFD546 , 6.35
42C9 , 9.4
FFFFD546 , 6.28
42C9 , 8.4
FFFFD546 , 6.30
42C9 , 9.5
FFFFD546 , 6.22
42C9 , 8.3
FFFFD546 , 6.24
42C9 , 7.2
FFFFD546 , 6.29
42C9 , 7.4
FFFFD546 , 6.34
42C9 , 7.0
FFFFD546 , 6.29
42C9 , 9.2
FFFFD546 , 6.49
42C9 , 9.5
FFFFD546 , 6.11
42C9 , 8.4
FFFFD546 , 6.19
42C9 , 9.3
FFFFD546 , 6.25
42C9 , 9.4
FFFFD546 , 6.25
42C9 , 9.3
FFFFD546 , 6.29
42C9 , 9.3
FFFFD546 , 6.32
42C9 , 9.4
FFFFD546 , 6.32
42C9 , 8.7
FFFFD546 , 6.21
42C9 , 8.3
FFFFD546 , 6.37
42C9 , 8.0
FFFFD546 , 6.35
42C9 , 8.8
FFFFD546 , 6.23
42C9 , 7.8
FFFFD546 , 6.28
42C9 , 8.6
FFFFD546 , 6.22
42C9 , 8.4
FFFFD546 , 6.12
42C9 , 9.3
FFFFD546 , 6.18
42C9 , 8.4
FFFFD546 , 6.18
42C9 , 7.8
FFFFD546 , 6.14
42C9 , 8.3
